월요일;Monday
화요일;Tuesday
수요일;Wednesday
목요일;Thursday
금요일;Friday
토요일;Saturday
일요일;Sunday
무슨 요일;What day
지난주;last week
이번주;this week
다음주;next week
주말;weekend
쇼핑하고 싶어요;I'd like to go shopping
그럼, 오늘 명동에 갈까요?;shall we go to Myeong-dong then?
버스 탈까요?;shall we take a bus?
출근시간;the time people start work
퇴근시간;the time people finish work
지금 퇴근시간이에요;it's the evening rush hour now
빠르다;to be fast
지하철이 더 빨라요;the metro is faster
티머니 카드;T-money card (travel card)
환승;transfer
티머니 카드는 버스, 지하철 환승이 돼요;you can transfer between the bus and tube with a T-money card
티머니 카드는 편의점에서 살 수 있어요;you can buy a T-money card at the convenience store
명동역은 몇 호선이에요?;which tube line goes to Myeong-dong station?
지하철 노선도;Tube map
지하철 노선도에서 확인할 수 있어요;you can check on the Tube map
명동역은 4호선이에요;Myeong-dong station is on line 4
갈아타다;to change- to transfer
서울역에서 한 번 갈아타야 해요;you should change once at Seoul station
이번 역은 서울역입니다;this stop is Seoul station
내리다;to get off
편리하다;to be convenient
한국 지하철은 진짜 편리해요;the Korean metro is really convenient
여기서 명동까지 얼마나 걸려요?;how long does it take from here to Myeong-dong?
지하철로 20분쯤 걸려요;it takes around 20 minutes by tube
앉다;to sit
여기 앉을까요?;shall we sit here?
노약자석;priority seat
여긴 노약자석이에요;here are the priority seats
저쪽;there- over there
그럼 저쪽으로 갈까요?;shall we go there then?
다음 역에서 내려요;we will get off at the next station
십원;10 won
오십원;50 won
백원;100 won
오백원;500 won
천원;1-000 won
오천원;5-000 won
만원;10-000 won
오만원;50-000 won
오늘 어디에 갈 거예요?;where will you go this afternoon?
쇼핑몰에 갈 거예요;I'll go to the shopping centre
뭐 하러 가요?;what are you going there for?
선물;a gift- a present
선물을 사러 가요;I'm going to buy a present
기념일;anniversary
오늘은 우리 기념일이에요;today is our anniversary
추천하다;to recommend
남자친구 선물을 추천해 주세요;can you recommend a present for my boyfriend? (polite)
커플 신발;matching shoes (for a couple)
커플 신발은 어때요?;how about couple shoes?
켤레;a pair (shoes/socks)
이 신발은 한 켤레에 얼마예요?;how much is this pair of shoes?
칠만원이에요;it's 70-000 won
너무 비싸요;it's too expensive
깎다;to reduce price
좀 깎아주세요;can you reduce the price a bit?
현금;cash
결제;payment
현금으로 결제할 거예요?;will you pay with cash?
현금으로 하면 오천원 깎아 줄게요;if you pay with cash- I'll reduce the price by 5-000 won
봉투;a plastic bag- an envelope
필요하다;to need
봉투 필요하세요?;do you need a plastic bag? (polite)
네, 하나 주세요;yes- give me one please (polite)
아니요, 괜찮아요;no- thanks
장;a sheet- quantifier for paper or plastic bag
봉투는 한 장에 오십원입니다;the price of a plastic bag is 50 won
장미꽃;a rose
보여주다;to show
장미꽃 좀 보여주세요;I'm looking for a rose- can you please show me some roses? (polite)
구경하다;to look around
네, 구경하세요;yes- please feel free to have a look (polite)
누구에게 선물할 거예요?;who will you give the present to?
여자친구에게 선물할 거예요;I'll give the present to my girlfriend
여자친구가 장미꽃을 좋아해요;my girlfriend likes roses
송이;a bunch- quantifier for flowers
장미꽃은 한 송이에 삼천원이에요;one rose costs 3-000 won
꽃다발;a bouquet- a bunch of flowers
이 꽃다발은 이만 육천원이에요;this bunch of flowers costs 26-000 won
작다;to be small
케이크 좀 더 작은 건 없어요?;don't you have a smaller cake?
크다;to be big
이 케이크는 너무 커요;this cake is too big
이 초코 케이크는 만 팔천원이에요;this chocolate cake is 18-000 won
현금 영수증;cash receipt
현금 영수증 필요하세요?;do you need a cash receipt? (polite)
네, 해주세요;yes- please give it to me (polite)
입력하다;to input- to enter
지치다;to be tired- to be exhausted
너무 지쳐요;I'm so tired now
마시다;to drink
우리 커피 마시러 가요;let's go to the coffee shop
잔;a cup- a glass
아메리카노 한 잔 주세요;can I have an americano please? (polite)
라테도 한 잔 주세요;one latte too- please (polite)
구천원입니다;it's 9-000 won (formal form)
받다;to get- to receive
만원 받았습니다;I received 10-000 won (formal form)
잔돈;change (money)
여기 잔돈 천원 있습니다;here is your change 1-000 won (formal form)
진동벨;vibration bell
울리다;to ring
받으러 오다;to come and take something
진동벨이 울리면 커피 받으러 오세요;when the vibration bell rings- please come and take your coffee (polite)
숙소;accommodation
검색하다;to search
숙소를 검색해요;I'm looking for accommodation
게스트 하우스;guest house
저렴하다;to be inexpensive
게스트 하우스는 저렴해요;the guest house is inexpensive
친구를 사귀다;to make friends
게하에서는 친구를 사귈 수 있어요;you can make friends in a guest house
호텔;hotel
후기;review
호텔 후기가 좋아요;the hotel has good reviews
후기가 좋지 않아요;it doesn't have good reviews
접근성;accessibility
이 숙소는 접근성이 좋아요;the accommodation is well connected
예약하다;to book- to reserve
예약하셨어요?;did you book? (polite)
체크인할게요;I want to check in
성함;name (honorific word)
예약자;the person that booked
예약자분 성함이 어떻게 되세요?;what name is the booking under? (polite)
오주영으로 예약했어요;I made a reservation under Oh Ju Young
알려주다;to let someone know
예약 번호 좀 알려주세요;please give me your reservation number (polite)
선불;advanced payment
결제는 선불로 해주세요;please pay in advance (polite)
예약 사이트;reservation site
예약 사이트에서 이미 결제했어요;I already paid on the reservation site
예약이 확인되었습니다;your reservation has been confirmed (formal form)
여권;passport
여권 좀 주시겠어요?;may I see your passport- please? (polite)
복사하다;to copy
여권은 복사 좀 하겠습니다;I'll copy your passport (formal form)
열쇠;key
여기 열쇠 있습니다;here is your key (formal form)
이용하다;to use
저쪽 엘리베이터를 이용해 주세요;you can use the elevator over there (polite)
방;room
신발;shoes
벗다;to take off (shoes)
방에서는 신발을 벗어주세요;please take off your shoes in the room (polite)
옮기다;to move- to shift- to change
방을 옮기고 싶어요;I'd like to change my room
두고 나오다;to leave something behind
방에 열쇠를 두고 나왔어요;I left my key in my room
청소하다;to clean up
지금 제 방을 청소해 줄 수 있나요?;can you clean my room now? (humble)
10분 후에 청소를 해 주세요;please clean my room in 10 minutes (polite)
조식;breakfast
숙박비;room charge- accommodation fee
포함되어 있다;to contain- to be included
숙박비에 조식이 포함되어 있나요?;is breakfast included in the accommodation fee?
조식 시간은 몇 시부터인가요?;when do you serve breakfast?
조식 시간은 아침 6시부터 9시까지입니다;breakfast is served between 6 and 9 (formal form)
지금 체크아웃 할게요;I'm checking out now
짐;load- luggage
맡기다;to keep- to leave something somewhere
짐을 좀 맡길 수 있나요?;can I check in my luggage?
공항까지 얼마나 걸려요?;how long does it take to the airport?
택시를 불러 주시겠어요?;please call me a taxi (polite)
네, 알겠습니다;yes- got it (formal form)
조심해요!;careful!
오른쪽;right
왼쪽;left
내리실 문은 오른쪽입니다;the door's on your right
비키다;to step aside- to get out of the way
좀 비켜 주세요;please let me past
입구;entrance
출구;exit
몇 번 출구예요?;which exit?
육번 출구예요;it's exit number 6
나중에 집에 어떻게 가요?;how are we going to go home later?
택시로 갈 거예요;I'm going to go by taxi
차;car- tea
막히다;to be blocked
금요일이라서 차가 많이 막혀요;it's Friday- so traffic is horrible
그럼 지하철 타요;let's take the tube- then
어디 살아요?;where do you live?
신촌 근처에 살아요;I live near Sinchon
마을버스;shuttle bus- town bus
신촌역 앞에서 마을버스를 타요;I get the bus in front of Sinchon Station
어학당;Korean language school
어학당은 어떻게 가요?;how do you get to the Korean language school?
하숙집;boarding house- homestay
하숙집 앞 버스 정류장에서 버스를 타요;I take a bus at the bus station in front of my boarding house
가끔;sometimes- occasionally
자전거;bicycle- bike
가끔은 자전거를 타고 가요;I go there by bike sometimes
도착하다;to arrive
도착했어요;we arrived
쇼핑합시다!;let's go shopping
프론트 데스크;reception desk
룸서비스;room service
보증금;deposit
싱글베드;single bed
더블베드;double bed
1박;one night
2박 3일;two nights three days
근처 볼거리;nearby attractions
귀중품;valuables
금연;prohibition of smoking
입실;entering a room- check in
퇴실;leaving the room- check out
타월;towel
화장지;toilet paper- tissue
비누;soap
칫솔;toothbrush
치약;toothpaste
드라이기;hair drier
비행기;plane
탑승권;boarding pass
배;boat- stomach- pear
항구;port- harbour
대중교통;public transport
고속버스;express bus
터미널;terminal
교통요금;fare
첫차;first train or bus
막차;last train or bus
사거리;intersection
교통 표지판;traffic sign
횡단보도;crosswalk
주차장;carpark
여보세요?;hello (on the phone)
오래간만이야;long time no see (casual form)
어디야?;where are you? (casual form)
나 지금 집이야;I'm home now (casual form)
허구한 날;day in and day out
너는 왜 허구한 날 집에 있어?;why do you stay at home day in and day out? (casual form)
이불;duvet
밖;outside
위험하다;to be dangerous
이불 밖은 위험해;It's a dog eat dog world so I want to stay in bed (casual form)
영화;a film- a movie
우리 영화 보러 가자;let's go see a film (casual form)
영화는 무슨 영화야!;what do you mean go to the cinema! (casual form)
술 마시러 가자;let's go for a drink (casual form)
술쟁이;heavy drinker
아휴, 진짜 이 술쟁이!;oof- you are such a heavy drinker! (casual form)
밖에;nothing but- only
지금 6시 밖에 안 됐어;it's only 6 now (casual form)
뭐 어때!;so what!
이따가;later- after a while
술은 좀 이따가 마시고 밥부터 먹자;let's eat dinner first and then drink later (casual form)
일단;first of all- for the moment- once
얘기;story- talk
만나다;to meet
일단 만나자, 만나서 얘기하자;let's meet first and then talk (casual form)
살찌다;to gain weight
나 요즘 살찐 거 같아;I think I have gained weight recently (casual form)
맛있게 먹으면 0 칼로리야;if it's tasty- the calories don't count (casual form)
나이 먹다;to get older
진짜 나이 먹은 거 같아;I feel so old (casual form)
됐고 밥 먹으러 가자;whatever- let's go for a meal (casual form)
나 지금 돈 오천원 밖에 없어;I only have 5-000 won now (casual form)
현금은 없고 카드 밖에 없어;I don't have cash- I only have card (casual form)
치킨과 맥주;chicken and beer
치맥 콜?;are you in for chicken-and-beer? (casual form)
콜!;I'm in! (casual form)
소주파;soju lover
나는 소주파야!;I'm a soju lover (casual form)
짠!;cheers! (casual form)
셀카;selfie
찍다;to take- to photograph
우리 셀카 찍자;let's take a selfie (casual form)
보다;to look- to see- to watch
여기 봐! 하나, 둘, 셋;look here! one- two- three (casual form)
이게 너라고?;is this you? (casual form)
사기 치다;to cheat- to take somebody for a ride
사기 치지 마;come off it! (casual form)
사진빨;photogenic
얘;this person- this child- hey
얘 사진빨 장난 아니야;she's so photogenic (casual form)
원래;originally
나 원래 예뻐;I was born beautiful (casual form)
취하다;to get drunk
얘 취했네! 취했어!;she's drunk (casual form)
나 아직 안 취했어;I am not drunk yet (casual form)
2차;second round
우리 2차 가자;let's go for a second round (casual form)
불타는 금요일;burnin' Friday
불금을 달리자!;it's Friday- let's paint the town red! (casual form)
속이 울렁거려;I feel nauseous (casual form)
그만 마셔!;stop drinking! (casual form)
내가 미쳐!;for crying out loud! (casual form)
이제 그만 집에 가자;let's call it a night (casual form)
택시!;taxi!
도착하면 전화해!;call me when you arrive home (casual form)
취업;finding a job
아르바이트;part time job
정규직;permanent position- full-time job
비정규직;temporary position
계약직;contract worker
신입;new recruit- new employee
경력;experience- experienced employee
거래처;business associates- supplier- client
휴가;holiday- vacation
채용 사이트;recruitment site
신의 직장;dream job
의사;doctor
간호사;nurse
선생님;teacher
공무원;civil servant- government employee
농부;farmer
어부;fisherman
광부;miner
이력서;CV
제출하다;to submit
많은 회사에 이력서를 제출했습니다;I submitted my CV to many companies (formal form)
인턴;intern
저는 인턴입니다;I'm an intern (formal form)
저는 인턴이 아닙니다;I'm not an intern (formal form)
면접;interview
합격하다;to pass
면접에 합격했습니다;I passed the interview (formal form)
출근;going to work
보통;normal
저는 보통 아침 8시 30분까지 출근을 합니다;I usually arrive at work by 8:30 (formal form)
좋은 아침입니다;good morning (formal form)
지각하다;to be late
오늘은 지각을 했습니다;today I was late (formal form)
팀장님;team leader
한소리;nitpicking- scolding
듣다;to listen
팀장님에게 한소리를 들었습니다;I was given a scolding from the team leader (formal form)
회의;meeting
오늘은 오후 3시에 회의가 있습니다;today I have a meeting at 3 o'clock (formal form)
회식;company dinner
빠지다;to fall out- to be absent from something
회식에 빠지고 싶습니다;I want to be absent from the team dinner (formal form)
회식에 빠질 수 없습니다;I can't be absent from the team dinner (formal form)
성공;success
프로젝트 성공을 위하여!;for project success!
회식 때 술을 너무 많이 마셨습니다;I drank a lot at the company dinner (formal form)
대머리;bald head
저희 팀장님은 대머리입니다;my team leader is bald (formal form)
실언을 하다;to make a slip of the tongue
저는 어제 실언을 했습니다;I made a slip of the tongue yesterday (formal form)
필름이 끊기다;to black out drunk
어제 완전히 필름이 끊겼어;I completely blacked out yesterday (casual form)
미쳤어! 미쳤어!;are you out of your mind? (casual form)
죽다;to die
내일 나는 죽었다!;I'm dead tomorrow!
쥐구멍;rat hole- mouse hole
숨다;to hide
진짜 쥐구멍에라도 숨고 싶어요;I feel like crawling into a hole
퇴사하다;to quit
퇴사해야 할까요?;should I quit?
처세술;people skills
약하다;to be weak- to be bad at
저는 처세술에 약합니다;I have bad people skills (formal form)
강하다;to be strong- to be good at
제 친구는 처세술에 강합니다;my friend has good people skills (formal form)
김 과장님 부탁합니다;could I speak to department director Kim please? (formal form)
지금 회의 중이십니다;she's in a meeting right now (formal form)
지금 통화 중이십니다;she's on a call (formal form)
메모 남기시겠어요?;will you leave him a message? (polite)
드리다;to give (honorific word)
다시 전화드리겠습니다;I will call again (formal form)
스트레스;stress
요즘 스트레스를 많이 받습니다;I'm under a lot of stress these days (formal form)
인간관계;relationships with people
쉽다;to be easy
어렵다;to be difficult
사실 인간관계가 가장 어렵습니다;actually- dealing with people is the most difficult (formal form)
야근;overtime- night shift
오늘도 저는 야근입니다;I'll be on night shift again tonight (formal form)
이 또한 지나가리라!;nothing lasts forever
칼퇴근;leaving work on time
아싸! 오늘은 칼퇴근!;yay! I can leave work on time today! (casual form)
얼굴천재;handsome man or pretty woman
솔로;single man- single woman
훈남 훈녀;attractive man and woman
흔남 흔녀;ordinary man and woman- ordinary people
연애결혼;love marriage
중매결혼;arranged marriage
헤어지다;to break up
권태기;the seven year itch
내 전부;my everything
내 반쪽;my better half
반지;ring
결혼반지;wedding ring
커플링;couple's ring- promise ring
청혼;marriage proposal
전 여자친구;ex-girlfriend
신혼여행;honeymoon
모태솔로;forever alone
모태신앙;being born a faith
소개팅;blind date
나 지금 소개팅하는 중이야, 나중에 전화해!;I'm on a blind date now- call me later! (casual form)
통하다;to go through- to speak the same language (casual form)
소개팅한 사람이랑 완전 잘 통했어;we totally hit it off right away (casual form)
훈남;a warm-hearted man- a hot guy
멋있다;to be cool- to be stylish
정말 멋있는 훈남이었어;he was a really cool guy (casual form)
여신;beautiful girl- goddess
예쁜 여신 스타일이었어;she was like a beautiful goddess (casual form)
친절하다;to be friendly
친절하신 분이었어;he was friendly (casual form)
썸 타다;to see someone
너 썸 타는 사람 있어?;are you seeing anyone? (casual form)
나 썸 타는 사람 없어;I'm not seeing anyone (casual form)
짝사랑;unrequited love- crush
나 혼자 짝사랑 중이야;I have a crush on someone (casual form)
우리 오늘부터 1일이야;today is our first day as a couple (casual form)
연상연하 커플;the woman is the older one of the couple
내 남자친구는 연하야;my boyfriend is younger than me (casual form)
재촉하다;to push- to hurry
부모님이 결혼하라고 재촉하셔?;are your parents pushing you for marriage?
말도 마!;don't get me started! (casual form)
바람나다;to have an affair
전 남자친구;ex boyfriend
내 전 남친은 바람났어;my ex boyfriend had an affair (casual form)
정말 꼴도 보기 싫어;I hate the very sight of him (casual form)
나쁜 자식!;bastard! (casual form)
걱정하지 마!;don't worry! (casual form)
똥;poo- crap
똥차;crap car
벤츠;Mercedes Benz
똥차가 가면 벤츠가 올 거야!;your ex was a crap car- you will meet a Mercedes Benz soon
세상에 남자는 많아;there's plenty more (male) fish in the sea (casual)
세상에 여자는 많아;there's plenty more (female) fish in the sea (casual)
사귀다;to date- to be a couple
우리 다시 사귀어;we started dating again (casual form)
장난해?;are you joking?! (casual form)
질투하니?;are you jealous? (casual form)
부부싸움;domestic dispute
칼;knife
베다;to cut
원래 부부싸움은 칼로 물 베기야;nothing is so unpalatable as a lovers' quarrel (casual form)
손;hand
발;foot
들다;to lift
난 정말 두 손 두 발 다 들었어;I have given up on you completely (casual form)
마음;mind- heart
너 마음대로 해;do whatever you like (casual form)
믿다;to believe
난 우리 남자친구 믿어!;I believe in my boyfriend (casual form)
상견례;meeting your fiancé's family
나 상견례 했어;I met my fiancé's familly (casual form)
일주일 후에 결혼해;I'm getting married in one week (casual form)
자기;honey- darling
임신하다;to be pregnant
자기야! 나 임신했어!;honey! I'm pregnant! (casual form)
두근두근;pitter-patter
심장;heart
심장이 두근두근해;my heart is racing (casual form)
매일;daily- every day
행복하다;to be happy
행복한 하루!;a happy day
매일매일 너무 행복해;I'm over the moon everyday (casual form)
일월;January
이월;February
삼월;March
사월;April
오월;May
유월;June
칠월;July
팔월;August
구월;September
시월;October
십일월;November
십이월;December
봄;spring
여름;summer
가을;autumn
겨울;winter
작년;last year
올해;this year
